Unique users quantity: 1412

Tags Statistics:
node,member,nd,tag,bounds,note,meta,osm,way,relation
780615,66376,979910,382110,1,1,1,1,131537,4890

Keys Statistics:
lower,lower_colon,nonlatin,problemchars,other,lower_upper
294144,87503,3,1,452,7

Strange Keys:
Type,Key,Value
problemchars,MihaDo Guitars Studio,"Ремонт гитар, музыкальных инструментов  и аппаратуры"
nonlatin,Мебель,"Студия дизайн интерьер. Мебель, бетон, вода."
nonlatin,Перетяжка,Перетяжка мебели
nonlatin,Ремонт,Ремонт мебели

Unexpected Street Types: 25
Found type,Value example
zhylianskaya,zhylianskaya
Урлівська,Урлівська
Парковая,Парковая
Дмитриевская,Дмитриевская
Машинобудівна,Машинобудівна
Петлюри,С. Петлюри
Артема,вулиця Артема
народів,Площа Дружби народів
Малышко,вул. Андрея Малышко
Gogolevska,Strada Gogolevska
шлях,Погребський шлях
Дмитровская,Дмитровская
Загородная,Загородная
8,"Срибнокильская, 8"
Орача,Червоного Орача
Кошова,Кошова
Сагайдачного,вул. Сагайдачного
Гагаріна,вулиця Гагаріна
Хрещатик/Заньковецкої,Хрещатик/Заньковецкої
Виставкова,вулиця Виставкова
Электротехническая,ул. Электротехническая
Незалежності,майдан Незалежності
Лучистая,Лучистая
Сковороди,вул. Григорія Сковороди
Сталинграда,проспект Героев Сталинграда

